"Unit_Code","Park_Name","Lake_Code","Start_Date","Event_Duplicate","Field_Split","Number_of_Sweeps","GPS_Used","Start_Time","End_Time","General_Invert_Notes","Invert_Duplicate","Sample_Date_Collected","Sample_Collection_Procedure","Order","Family","Taxon","Count","Large_or_Rare","Life_Stage","Unique","Qualifier","ProportionOfSampleUsed","Invertebrate_Species_Record_Notes"
"CRLA","Crater Lake National Park","CRLAWQL04",2013-09-04,"No",,15,,"13:30","14:45",,"No",2013-09-04,"KICK","Haplotaxida","Enchytraeidae","Enchytraeus",1,,"Unknown","Yes",,"30 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2013-09-04,"No",,15,,"13:30","14:45",,"No",2013-09-04,"KICK",,,"Ostracoda",199,,"Unknown","Yes",,"30 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2013-09-04,"No",,15,,"13:30","14:45",,"No",2013-09-04,"KICK","Hemiptera","Notonectidae","Notonecta",1,,"Larva","Yes",,"30 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2013-09-04,"No",,15,,"13:30","14:45",,"No",2013-09-04,"KICK","Haplotaxida","Naididae","Nais",2,,"Unknown","Yes",,"30 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2013-09-04,"No",,15,,"13:30","14:45",,"No",2013-09-04,"KICK","Haplotaxida","Naididae","Naididae",4,,"Immature","Yes",,"30 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2013-09-04,"No",,15,,"13:30","14:45",,"No",2013-09-04,"KICK","Diptera","Chironomidae","Microtendipes Pedellus Gr.",13,,"Larva","Yes",,"30 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2013-09-04,"No",,15,,"13:30","14:45",,"No",2013-09-04,"KICK","Diptera","Chironomidae","Metriocnemus",2,,"Larva","Yes",,"30 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2013-09-04,"No",,15,,"13:30","14:45",,"No",2013-09-04,"KICK","Diptera","Chironomidae","Paratanytarsus",34,,"Larva","Yes",,"30 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2013-09-04,"No",,15,,"13:30","14:45",,"No",2013-09-04,"KICK","Coleoptera","Dytiscidae","Dytiscidae",1,,"Larva","Yes","Damaged","30 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2013-09-04,"No",,15,,"13:30","14:45",,"No",2013-09-04,"KICK","Diptera","Chironomidae","Paramerina",3,,"Larva","Yes",,"30 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2013-09-04,"No",,15,,"13:30","14:45",,"No",2013-09-04,"KICK","Diptera","Chironomidae","Procladius",30,,"Larva","Yes",,"30 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2013-09-04,"No",,15,,"13:30","14:45",,"No",2013-09-04,"KICK","Diptera","Chironomidae","Psectrocladius",16,,"Larva","Yes",,"30 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2013-09-04,"No",,15,,"13:30","14:45",,"No",2013-09-04,"KICK","Diptera","Chironomidae","Tanytarsus",57,,"Larva","Yes",,"30 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2013-09-04,"No",,15,,"13:30","14:45",,"No",2013-09-04,"KICK","Trombidiformes","Feltriidae","Feltria",1,,"Adult","Yes",,"30 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2013-09-04,"No",,15,,"13:30","14:45",,"No",2013-09-04,"KICK","Trombidiformes","Oxidae","Frontipoda",4,,"Adult","Yes",,"30 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2013-09-04,"No",,15,,"13:30","14:45",,"No",2013-09-04,"KICK","Odonata","Libellulidae","Libellulidae",8,,"Larva","Yes","Damaged","30 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2013-09-04,"No",,15,,"13:30","14:45",,"No",2013-09-04,"KICK","Diptera","Chironomidae","Limnophyes",2,,"Larva","Yes",,"30 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2013-09-04,"No",,15,,"13:30","14:45",,"No",2013-09-04,"KICK","Odonata","Coenagrionidae","Coenagrionidae",6,,"Larva","Yes","Damaged","30 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2013-09-04,"No",,15,,"13:30","14:45",,"No",2013-09-04,"KICK","Trombidiformes","Pionidae","Piona",1,,"Adult","Yes",,"30 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2013-09-04,"No",,15,,"13:30","14:45",,"No",2013-09-04,"KICK","Diptera","Chironomidae","Ablabesmyia",58,,"Larva","Yes",,"30 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2013-09-04,"No",,15,,"13:30","14:45",,"No",2013-09-04,"KICK","Diptera","Chironomidae","Polypedilum",20,,"Larva","Yes",,"30 %",
"CRLA","Crater Lake National Park","CRLAWQL04",2013-09-04,"No",,15,,"13:30","14:45",,"No",2013-09-04,"KICK","Trichoptera","Phryganeidae","Agrypnia",5,,"Larva","Yes",,"30 %",
