"Unit_Code","Park_Name","Lake_Code","Start_Date","Event_Duplicate","Letter","Canopy_Type","Big_trees_ArealCover","Small_trees_ArealCover","Understory_Veg_Cover","Woody_shrubs_saplings_ArealCover","Tall_herb_grass_forb_ArealCover","Woody_shrubs_saplings_GroundCover","Herb_Grass_Forb_GroundCover","Standing_water_ArealCover","Barren_AreaCcover","Riparian_Cover_Notes","Validation_Notes"
"CRLA","Crater Lake National Park","CRLAWQL04",2013-09-04,"No","M","coniferous","sparse (<10%)","moderate (10-40%)","mixed","moderate (10-40%)","moderate (10-40%)","moderate (10-40%)","heavy (40-75%)","absent","moderate (10-40%)",,
"CRLA","Crater Lake National Park","CRLAWQL04",2013-09-04,"No","B","coniferous","sparse (<10%)","moderate (10-40%)","mixed","moderate (10-40%)","moderate (10-40%)","moderate (10-40%)","heavy (40-75%)","absent","moderate (10-40%)",,
"CRLA","Crater Lake National Park","CRLAWQL04",2013-09-04,"No","C","coniferous","sparse (<10%)","moderate (10-40%)","mixed","moderate (10-40%)","moderate (10-40%)","moderate (10-40%)","moderate (10-40%)","absent","moderate (10-40%)",,
"CRLA","Crater Lake National Park","CRLAWQL04",2013-09-04,"No","L","coniferous","moderate (10-40%)","moderate (10-40%)","mixed","moderate (10-40%)","moderate (10-40%)","moderate (10-40%)","heavy (40-75%)","absent","moderate (10-40%)",,
"CRLA","Crater Lake National Park","CRLAWQL04",2013-09-04,"No","A","coniferous","moderate (10-40%)","moderate (10-40%)","mixed","moderate (10-40%)","moderate (10-40%)","moderate (10-40%)","moderate (10-40%)","absent","sparse (<10%)",,
"CRLA","Crater Lake National Park","CRLAWQL04",2013-09-04,"No","J","coniferous","sparse (<10%)","sparse (<10%)","mixed","moderate (10-40%)","moderate (10-40%)","sparse (<10%)","heavy (40-75%)","sparse (<10%)","absent",,
"CRLA","Crater Lake National Park","CRLAWQL04",2013-09-04,"No","H","coniferous","sparse (<10%)","moderate (10-40%)","mixed","moderate (10-40%)","sparse (<10%)","sparse (<10%)","moderate (10-40%)","absent","heavy (40-75%)",,
"CRLA","Crater Lake National Park","CRLAWQL04",2013-09-04,"No","G","coniferous","sparse (<10%)","moderate (10-40%)","coniferous","moderate (10-40%)","absent","sparse (<10%)","sparse (<10%)","absent","very heavy (>75%)",,
"CRLA","Crater Lake National Park","CRLAWQL04",2013-09-04,"No","N","coniferous","moderate (10-40%)","sparse (<10%)","mixed","sparse (<10%)","moderate (10-40%)","sparse (<10%)","heavy (40-75%)","absent","moderate (10-40%)",,
"CRLA","Crater Lake National Park","CRLAWQL04",2013-09-04,"No","E","coniferous","moderate (10-40%)","moderate (10-40%)","mixed","moderate (10-40%)","sparse (<10%)","moderate (10-40%)","sparse (<10%)","absent","heavy (40-75%)",,
"CRLA","Crater Lake National Park","CRLAWQL04",2013-09-04,"No","K","coniferous","moderate (10-40%)","moderate (10-40%)","mixed","moderate (10-40%)","moderate (10-40%)","moderate (10-40%)","heavy (40-75%)","absent","absent",,
"CRLA","Crater Lake National Park","CRLAWQL04",2013-09-04,"No","D","coniferous","moderate (10-40%)","moderate (10-40%)","mixed","moderate (10-40%)","moderate (10-40%)","moderate (10-40%)","moderate (10-40%)","absent","moderate (10-40%)",,
"CRLA","Crater Lake National Park","CRLAWQL04",2013-09-04,"No","O","coniferous","sparse (<10%)","moderate (10-40%)","mixed","moderate (10-40%)","moderate (10-40%)","moderate (10-40%)","heavy (40-75%)","absent","sparse (<10%)",,
"CRLA","Crater Lake National Park","CRLAWQL04",2013-09-04,"No","I","coniferous","sparse (<10%)","sparse (<10%)","mixed","moderate (10-40%)","moderate (10-40%)","sparse (<10%)","heavy (40-75%)","sparse (<10%)","absent",,
"CRLA","Crater Lake National Park","CRLAWQL04",2013-09-04,"No","F","coniferous","sparse (<10%)","moderate (10-40%)","coniferous","moderate (10-40%)","sparse (<10%)","moderate (10-40%)","sparse (<10%)","absent","heavy (40-75%)",,
"CRLA","Crater Lake National Park","CRLAWQL04",2016-09-13,"No","A","coniferous","absent","sparse (<10%)",,"absent","sparse (<10%)","sparse (<10%)","heavy (40-75%)","absent","moderate (10-40%)",,
"CRLA","Crater Lake National Park","CRLAWQL04",2016-09-13,"No","D",,"absent","absent",,"sparse (<10%)","heavy (40-75%)","sparse (<10%)","very heavy (>75%)","absent","sparse (<10%)",,
"CRLA","Crater Lake National Park","CRLAWQL04",2016-09-13,"No","H",,"absent","absent",,"sparse (<10%)","heavy (40-75%)","sparse (<10%)","heavy (40-75%)","absent","sparse (<10%)",,
"CRLA","Crater Lake National Park","CRLAWQL04",2016-09-13,"No","F",,"absent","absent",,"absent","heavy (40-75%)","sparse (<10%)","very heavy (>75%)","absent","sparse (<10%)",,
"CRLA","Crater Lake National Park","CRLAWQL04",2016-09-13,"No","J",,"absent","absent",,"absent","moderate (10-40%)","sparse (<10%)","very heavy (>75%)","moderate (10-40%)","absent",,
"CRLA","Crater Lake National Park","CRLAWQL04",2016-09-13,"No","L","coniferous","absent","sparse (<10%)",,"sparse (<10%)","moderate (10-40%)","sparse (<10%)","heavy (40-75%)","absent","moderate (10-40%)",,
"CRLA","Crater Lake National Park","CRLAWQL04",2016-09-13,"No","E",,"absent","absent",,"sparse (<10%)","heavy (40-75%)","sparse (<10%)","very heavy (>75%)","absent","sparse (<10%)",,
"CRLA","Crater Lake National Park","CRLAWQL04",2016-09-13,"No","K",,"absent","absent",,"absent","moderate (10-40%)","sparse (<10%)","heavy (40-75%)","absent","moderate (10-40%)",,
"CRLA","Crater Lake National Park","CRLAWQL04",2016-09-13,"No","G",,"absent","absent",,"sparse (<10%)","very heavy (>75%)","sparse (<10%)","heavy (40-75%)","absent","sparse (<10%)",,
"CRLA","Crater Lake National Park","CRLAWQL04",2016-09-13,"No","M","coniferous","sparse (<10%)","moderate (10-40%)",,"absent","sparse (<10%)","sparse (<10%)","moderate (10-40%)","absent","heavy (40-75%)",,
"CRLA","Crater Lake National Park","CRLAWQL04",2016-09-13,"No","I",,"absent","absent",,"absent","very heavy (>75%)","absent","heavy (40-75%)","moderate (10-40%)","absent",,
"CRLA","Crater Lake National Park","CRLAWQL04",2016-09-13,"No","B",,"absent","absent",,"absent","moderate (10-40%)","sparse (<10%)","very heavy (>75%)","absent","sparse (<10%)",,
"CRLA","Crater Lake National Park","CRLAWQL04",2016-09-13,"No","C",,"absent","absent",,"absent","moderate (10-40%)","sparse (<10%)","very heavy (>75%)","sparse (<10%)","absent",,
"CRLA","Crater Lake National Park","CRLAWQL04",2016-09-13,"No","O",,"absent","absent",,"absent","sparse (<10%)","sparse (<10%)","heavy (40-75%)","absent","heavy (40-75%)",,
"CRLA","Crater Lake National Park","CRLAWQL04",2016-09-13,"No","N","coniferous","absent","moderate (10-40%)",,"sparse (<10%)","moderate (10-40%)","sparse (<10%)","moderate (10-40%)","absent","heavy (40-75%)",,
"CRLA","Crater Lake National Park","CRLAWQL04",2019-09-10,"No","M",,"absent","absent","broadleaf evergreen","absent","moderate (10-40%)","sparse (<10%)","very heavy (>75%)","moderate (10-40%)","absent",,
"CRLA","Crater Lake National Park","CRLAWQL04",2019-09-10,"No","H",,"absent","absent","deciduous","moderate (10-40%)","sparse (<10%)","moderate (10-40%)","heavy (40-75%)","moderate (10-40%)","absent",,
