"Unit_Code","Park_Name","Lake_Code","Start_Date","Event_Duplicate","Survey_Time","Survey_Date","Temperature_C","Specific_conductivity","Dissolved_oxygen","pH","Oxidation_Reduction_Potential","Depth_m","Turbidity","Total_dissolved_solids","Dissolved_Oxygen_Saturation","Battery_Voltage","Water_Quality_Notes","Water_Quality_Duplicate"
"CRLA","Crater Lake National Park","CRLAWQL04",2013-09-04,"No","13:15",2013-09-04,15.19,47,8.1,7.48,127,0.04,-1.9,0,96,4.4,,"Yes"
"CRLA","Crater Lake National Park","CRLAWQL04",2013-09-04,"No","13:19",2013-09-04,14,47,7.87,7.2,130,1.04,-1.9,0,90.9,4.6,,"Yes"
"CRLA","Crater Lake National Park","CRLAWQL04",2013-09-04,"No","12:58",2013-09-04,14.14,47,7.89,7.51,151,0.5,1.1,0,91.5,4.5,,"No"
"CRLA","Crater Lake National Park","CRLAWQL04",2013-09-04,"No","13:17",2013-09-04,14.23,47,7.95,7.28,129,0.5,-1.6,0,92.3,4.5,,"Yes"
"CRLA","Crater Lake National Park","CRLAWQL04",2013-09-04,"No","12:54",2013-09-04,15.69,47,8.12,7.69,158,0.03,1.4,0,97.3,4.4,,"No"
"CRLA","Crater Lake National Park","CRLAWQL04",2013-09-04,"No","13:22",2013-09-04,13.32,47,8.93,7.17,129,1.45,-0.9,0,101.6,4.5,,"Yes"
"CRLA","Crater Lake National Park","CRLAWQL04",2013-09-04,"No","13:01",2013-09-04,13.95,48,7.91,7.3,148,0.98,1,0,91.2,4.4,,"No"
"CRLA","Crater Lake National Park","CRLAWQL04",2013-09-04,"No","13:03",2013-09-04,13.55,47,8.22,7.27,146,1.49,2.6,0,93.9,4.5,,"No"
"CRLA","Crater Lake National Park","CRLAWQL04",2016-09-13,"No","13:51",2016-09-13,9.27,34,7.22,6.82,159,1,-304013.6,21.91,74.8,11.4,,"No"
"CRLA","Crater Lake National Park","CRLAWQL04",2016-09-13,"No","13:47",2016-09-13,9.51,34,8,7.14,152,0.02,-303073.1,21.88,83.3,11.2,,"No"
"CRLA","Crater Lake National Park","CRLAWQL04",2016-09-13,"No","13:49",2016-09-13,9.35,34,7.41,6.91,156,0.51,-303620.6,21.93,76.9,11.4,,"No"
"CRLA","Crater Lake National Park","CRLAWQL04",2016-09-13,"No","13:53",2016-09-13,9.25,34,7.12,6.77,159,1.21,-305237.4,21.87,73.7,11.4,,"No"
"CRLA","Crater Lake National Park","CRLAWQL04",2019-09-10,"No","09:54",2019-09-10,13.61,32.3,6.07,6.59,199.9,1.12,-1.08,,69.5,12.1,,"No"
"CRLA","Crater Lake National Park","CRLAWQL04",2019-09-10,"No","09:54",2019-09-10,13.6,32.5,6.12,6.61,199.9,1.03,-1.2,,70.1,12.12,,"No"
"CRLA","Crater Lake National Park","CRLAWQL04",2019-09-10,"No","09:52",2019-09-10,13.72,32.7,7.15,6.65,199.9,0,-1.22,,82.1,12.13,,"No"
"CRLA","Crater Lake National Park","CRLAWQL04",2019-09-10,"No","09:53",2019-09-10,13.69,32.7,6.53,6.61,199.9,0.5,-1.21,,74.9,12.1,,"No"
"CRLA","Crater Lake National Park","CRLAWQL10",2013-09-07,"No","15:23",2013-09-07,15.97,7,6.34,5.56,101,0.37,371.4,0,81,4.2,,"No"
"CRLA","Crater Lake National Park","CRLAWQL10",2013-09-07,"No","15:21",2013-09-07,23.1,7,5.84,5.55,95,0,20.5,0,86.3,4.5,,"No"
"CRLA","Crater Lake National Park","CRLAWQL10",2016-09-14,"No","15:16",2016-09-14,17.27,5,7.45,5.52,178,0.02,-308940.5,3.43,97.9,11.4,,"No"
"CRLA","Crater Lake National Park","CRLAWQL10",2019-09-11,"No","14:38",2019-09-11,16.01,3,7.45,5.1,199.9,0,-0.75,,94.7,11.97,,"No"
"CRLA","Crater Lake National Park","CRLAWQL10",2019-09-11,"No","14:39",2019-09-11,13.94,3.1,7.26,5.33,199.9,0.48,-1,,88.2,12,,"No"
"CRLA","Crater Lake National Park","CRLAWQL11",2013-09-07,"No","12:00",2013-09-07,12.08,17,6,6.5,130,0.02,529,0,69.7,4.4,,"No"
"CRLA","Crater Lake National Park","CRLAWQL11",2013-09-07,"No","12:04",2013-09-07,12.32,17,5.93,6.13,127,0.24,770,0,69.2,4.3,,"No"
"CRLA","Crater Lake National Park","CRLAWQL11",2016-09-14,"No","11:02",2016-09-14,8.41,18,9.02,5.71,146,0,-530595.8,11.25,95.7,11.5,,"No"
"CRLA","Crater Lake National Park","CRLAWQL11",2016-09-14,"No","11:04",2016-09-14,7.88,17,8.31,6.1,145,0.1,-473399.7,11.18,87.1,11.5,,"No"
"CRLA","Crater Lake National Park","CRLAWQL11",2019-09-11,"No","10:41",2019-09-11,8.35,16.7,6.5,5.5,199.9,0,42.16,,68.7,12.07,,"No"
"CRLA","Crater Lake National Park","CRLAWQL11",2019-09-11,"No","10:42",2019-09-11,8.65,16.5,6.17,5.52,199.9,0.15,20.42,,65.7,12.03,,"No"
"CRLA","Crater Lake National Park","CRLAWQL12",2013-09-09,"No","11:19",2013-09-09,17.06,19,6.28,5.49,82,0.01,-1.5,0,81.7,4.3,,"No"
"CRLA","Crater Lake National Park","CRLAWQL12",2013-09-09,"No","11:21",2013-09-09,16.24,2,6.78,5.27,96,0.71,-0.2,0,86.7,4.3,,"No"
"CRLA","Crater Lake National Park","CRLAWQL12",2013-09-09,"No","11:20",2013-09-09,16.3,3,6.45,5.32,92,0.5,-2.6,0,82.6,4.3,,"No"
"CRLA","Crater Lake National Park","CRLAWQL12",2016-09-16,"No","09:50",2016-09-16,12.1,3,6.67,5.65,192,0.71,-299031.4,1.76,77.7,11.6,,"Yes"
"CRLA","Crater Lake National Park","CRLAWQL12",2016-09-16,"No","09:09",2016-09-16,11.92,3,6.93,5.35,196,0.63,-300835.8,1.76,80.3,11.6,,"No"
"CRLA","Crater Lake National Park","CRLAWQL12",2016-09-16,"No","09:08",2016-09-16,11.83,3,7.07,5.31,203,0.51,-299327,1.79,81.8,11.7,,"No"
"CRLA","Crater Lake National Park","CRLAWQL12",2016-09-16,"No","09:06",2016-09-16,12.08,3,7.86,6.04,184,0,-299192.9,1.79,91.5,11.6,,"No"
"CRLA","Crater Lake National Park","CRLAWQL12",2016-09-16,"No","09:48",2016-09-16,12.4,3,7.15,6.05,185,0,-298611,1.78,83.9,11.5,,"Yes"
"CRLA","Crater Lake National Park","CRLAWQL12",2016-09-16,"No","09:49",2016-09-16,12.27,3,7.01,5.82,189,0.49,-298937.9,1.78,81.9,11.5,,"Yes"
"CRLA","Crater Lake National Park","CRLAWQL12",2019-09-16,"No","08:37",2019-09-16,13.02,2.7,7.3,5.29,199.9,0.73,-1.95,,87.7,11.97,,"No"
"CRLA","Crater Lake National Park","CRLAWQL12",2019-09-16,"No","08:36",2019-09-16,13.14,2.7,8.45,5.38,199.9,0,-1.94,,101.9,11.97,,"No"
